time,frequency,confidence
9.890,114.715,0.198375
9.900,128.028,0.230315
9.910,129.399,0.113323
9.920,133.034,0.104886
9.930,137.478,0.236232
9.940,138.803,0.201993
9.950,138.803,0.344823
9.960,138.027,0.116889
9.970,138.502,0.189179
9.980,138.892,0.236681
9.990,137.653,0.476817
10.000,134.216,0.358497
10.010,118.986,0.071414
10.020,115.637,0.156324
10.030,112.880,0.144150
10.040,113.223,0.116076
10.050,113.058,0.115349
10.060,114.282,0.099493
10.070,115.337,0.143230
10.080,115.064,0.210055
10.090,114.447,0.559786
10.100,114.309,0.574238
10.110,114.411,0.384987
10.120,116.236,0.250427
10.130,117.605,0.250412
10.140,118.496,0.275603
10.150,117.693,0.300377
10.160,117.242,0.292622
10.170,117.656,0.257144
10.180,117.210,0.204025
10.190,116.564,0.435206
10.200,114.460,0.407191
10.210,113.155,0.354923
10.220,101.008,0.262495
10.230,100.689,0.147220
10.240,99.570,0.137589
10.250,109.736,0.127868
10.260,111.408,0.195832
10.270,113.225,0.185403
10.280,113.112,0.172410
10.290,115.374,0.196897
10.300,114.480,0.104446
10.310,115.534,0.162772
10.320,116.544,0.297454
10.330,117.241,0.460288
10.340,117.254,0.565157
10.350,114.519,0.531191
10.360,114.372,0.519652
10.370,115.341,0.442743
10.380,116.129,0.255751
10.390,117.352,0.253013
10.400,117.487,0.522115
10.410,114.501,0.233330
10.420,114.598,0.492769
10.430,112.670,0.337798
10.440,129.046,0.109848
10.450,139.592,0.421029
10.460,163.605,0.156014
10.470,178.420,0.122103
10.480,175.636,0.341530
10.490,172.813,0.363125
10.500,168.469,0.248219
10.510,167.052,0.295236
10.520,165.489,0.171841
10.530,166.407,0.252803
10.540,168.560,0.228795
10.550,166.912,0.219596
10.560,161.864,0.108143
10.570,154.193,0.411527
10.580,143.423,0.270984
10.590,135.267,0.126572
10.600,132.739,0.124302
10.610,133.455,0.103058
10.620,137.231,0.264825
10.630,134.452,0.126437
10.640,122.517,0.135518
10.650,117.101,0.123642
10.660,114.761,0.076762
10.670,116.315,0.143148
10.680,116.006,0.276076
10.690,117.269,0.392038
10.700,116.968,0.624543
10.710,116.104,0.755887
10.720,115.187,0.552047
